Title,Entities,Sentiment,Sentiment Score
title,[],LABEL_1,0.5446974635124207
the brutalist report,[],LABEL_0,0.7983839511871338
a popular but wrong way to convert a string to uppercase or lowercase,[],LABEL_0,0.6726369857788086
signoz (yc w21) is hiring site reliability engineers (remote),[],LABEL_1,0.9054446816444397
want growth? kill small businesses,[],LABEL_0,0.7321048378944397
ask hn: good online maths communities?,[],LABEL_1,0.8874506950378418
engineering geology of the bart system (2000),[],LABEL_1,0.8016054034233093
salt typhoon hacked us broadband providers and breached wiretap systems,[],LABEL_0,0.8112944960594177
mexico revives century-old railway in $2.8b bid to rival panama canal (2023),"[('▁me', 'I-LOC'), ('xico', 'I-LOC'), ('▁pana', 'I-LOC'), ('ma', 'I-LOC'), ('▁canal', 'I-LOC')]",LABEL_1,0.8845034837722778
show hn: running game boy roms on the stm32 arm cortex microcontroller,[],LABEL_1,0.9308211803436279
ask hn: have you built something that users have become addicted to or overused?,[],LABEL_1,0.5459534525871277
the costs of the i386 to x86-64 upgrade,[],LABEL_1,0.8386723399162292
ftx creditors will make money on bankruptcy: $1.19 for every dollar,[],LABEL_1,0.7580692768096924
japan's cat island won't survive much longer,"[('▁japan', 'I-LOC')]",LABEL_0,0.8536493182182312
an illustrated proof of the cap theorem,[],LABEL_1,0.8562886118888855
video surveillance with yolo+llava,[],LABEL_1,0.8834349513053894
moneygram says hacker stole customers' personal information and transaction data,[],LABEL_0,0.7189455628395081
rust is rolling off the volvo assembly line,"[('▁vol', 'I-MISC'), ('vo', 'I-MISC')]",LABEL_1,0.8160963654518127
witches around the world,[],LABEL_0,0.6396436095237732
private equity ruins tech companies,[],LABEL_0,0.8549307584762573
ublock origin supports filtering cname cloaking sites on firefox now,"[('▁fire', 'I-MISC'), ('fox', 'I-MISC')]",LABEL_1,0.8378552794456482
show hn: ai-generated images that look like real life,[],LABEL_1,0.8080424070358276
how private intelligence companies became the new spymasters,[],LABEL_1,0.7169931530952454
sam altman goes full emperor,"[('▁sam', 'I-PER'), ('▁alt', 'I-PER'), ('man', 'I-PER')]",LABEL_1,0.7938636541366577
is aws s3 having an outage?,"[('▁a', 'I-MISC'), ('ws', 'I-MISC'), ('▁s', 'I-MISC'), ('3', 'I-MISC')]",LABEL_1,0.6388154029846191
is the attack helicopter dead?,[],LABEL_1,0.6156079173088074
gunter's space page,"[('▁gun', 'I-PER'), ('ter', 'I-PER')]",LABEL_1,0.7783680558204651
who's a good boy? a puppy linux mini-review,[],LABEL_2,0.5876510143280029
"google must crack open android for third-party stores, rules epic judge","[('▁google', 'I-ORG'), ('▁android', 'I-MISC')]",LABEL_1,0.7223993539810181
wigle.net: all the networks. found by everyone,"[('▁wi', 'I-ORG'), ('gle', 'I-ORG'), ('net', 'I-ORG')]",LABEL_1,0.70557701587677
"microsoft didn't sandbox windows defender, so i did (2017)","[('▁', 'I-ORG'), ('microsoft', 'I-ORG'), ('▁windows', 'I-MISC'), ('▁defender', 'I-MISC')]",LABEL_1,0.5298221111297607
eurobsdcon 2024 some notes after the conference,"[('▁euro', 'I-MISC')]",LABEL_1,0.9076921939849854
"decoding bitcoin: an interactive, exercise-heavy approach to learning bitcoin",[],LABEL_1,0.6339535117149353
us antitrust case against amazon to move forward,"[('▁us', 'I-LOC'), ('▁ama', 'I-ORG'), ('zon', 'I-ORG')]",LABEL_1,0.7724915146827698
do not use secrets in environment variables and,[],LABEL_1,0.5448285341262817
the verge,[],LABEL_1,0.5586134195327759
google docs will let users organize information into tabs,"[('▁google', 'I-MISC'), ('▁do', 'I-MISC')]",LABEL_2,0.6199724674224854
samsung apologizes for making just $6.8 billion last quarter,"[('▁samsung', 'I-ORG')]",LABEL_1,0.4913613796234131
apple’s next macbook pros might have leaked in russia,"[('▁apple', 'I-ORG'), ('▁mac', 'I-MISC'), ('book', 'I-MISC'), ('▁pros', 'I-MISC'), ('▁rus', 'I-LOC'), ('sia', 'I-LOC')]",LABEL_1,0.6885757446289062
"chevy’s cheapest silverado ev now starts at $57,095","[('▁che', 'I-ORG'), ('vy', 'I-ORG'), ('▁silver', 'I-MISC'), ('ado', 'I-MISC')]",LABEL_1,0.8843131065368652
"another major hurricane is approaching florida, one of the most rapidly intensifying on record","[('▁flori', 'I-LOC'), ('da', 'I-LOC')]",LABEL_1,0.8038715124130249
watch this one minute preview of apple’s first scripted vision pro short,"[('▁apple', 'I-ORG')]",LABEL_1,0.7263877391815186
judge greenlights ftc’s antitrust suit against amazon,"[('▁', 'I-ORG'), ('ft', 'I-ORG'), ('c', 'I-ORG'), ('▁ama', 'I-ORG'), ('zon', 'I-ORG')]",LABEL_1,0.8248156905174255
"google must crack open android for third-party stores, rules epic judge","[('▁google', 'I-ORG'), ('▁android', 'I-MISC')]",LABEL_1,0.7223993539810181
ubisoft responds to rumors about tencent’s potential buyout,"[('▁ubi', 'I-ORG'), ('soft', 'I-ORG'), ('▁ten', 'I-ORG'), ('cent', 'I-ORG')]",LABEL_1,0.8488487601280212
arstechnica,[],LABEL_1,0.6875187158584595
