Title,Entities,Sentiment,Sentiment Score
title,[],Neutral,0.5446974635124207
the brutalist report,[],Negative,0.7983839511871338
a popular but wrong way to convert a string to uppercase or lowercase,[],Negative,0.6726369857788086
signoz (yc w21) is hiring site reliability engineers (remote),[],Neutral,0.9054446816444397
want growth? kill small businesses,[],Negative,0.7321048378944397
ask hn: good online maths communities?,[],Neutral,0.8874506950378418
engineering geology of the bart system (2000),[],Neutral,0.8016054034233093
salt typhoon hacked us broadband providers and breached wiretap systems,[],Negative,0.8112944960594177
mexico revives century-old railway in $2.8b bid to rival panama canal (2023),"[('▁mexico▁panama▁canal', 'I-LOC')]",Neutral,0.8845034837722778
show hn: running game boy roms on the stm32 arm cortex microcontroller,[],Neutral,0.9308211803436279
ask hn: have you built something that users have become addicted to or overused?,[],Neutral,0.5459534525871277
the costs of the i386 to x86-64 upgrade,[],Neutral,0.8386723399162292
ftx creditors will make money on bankruptcy: $1.19 for every dollar,[],Neutral,0.7580692768096924
japan's cat island won't survive much longer,"[('▁japan', 'I-LOC')]",Negative,0.8536493182182312
an illustrated proof of the cap theorem,[],Neutral,0.8562886118888855
video surveillance with yolo+llava,[],Neutral,0.8834349513053894
moneygram says hacker stole customers' personal information and transaction data,[],Negative,0.7189455628395081
rust is rolling off the volvo assembly line,"[('▁volvo', 'I-MISC')]",Neutral,0.8160963654518127
witches around the world,[],Negative,0.6396436095237732
private equity ruins tech companies,[],Negative,0.8549307584762573
ublock origin supports filtering cname cloaking sites on firefox now,"[('▁firefox', 'I-MISC')]",Neutral,0.8378552794456482
show hn: ai-generated images that look like real life,[],Neutral,0.8080424070358276
how private intelligence companies became the new spymasters,[],Neutral,0.7169931530952454
sam altman goes full emperor,"[('▁sam▁altman', 'I-PER')]",Neutral,0.7938636541366577
is aws s3 having an outage?,"[('▁aws▁s3', 'I-MISC')]",Neutral,0.6388154029846191
is the attack helicopter dead?,[],Neutral,0.6156079173088074
gunter's space page,"[('▁gunter', 'I-PER')]",Neutral,0.7783680558204651
who's a good boy? a puppy linux mini-review,[],Positive,0.5876510143280029
"google must crack open android for third-party stores, rules epic judge","[('▁google', 'I-ORG'), ('▁android', 'I-MISC')]",Neutral,0.7223993539810181
wigle.net: all the networks. found by everyone,"[('▁wiglenet', 'I-ORG')]",Neutral,0.70557701587677
"microsoft didn't sandbox windows defender, so i did (2017)","[('▁microsoft', 'I-ORG'), ('▁windows▁defender', 'I-MISC')]",Neutral,0.5298221111297607
eurobsdcon 2024 some notes after the conference,"[('▁euro', 'I-MISC')]",Neutral,0.9076921939849854
"decoding bitcoin: an interactive, exercise-heavy approach to learning bitcoin",[],Neutral,0.6339535117149353
us antitrust case against amazon to move forward,"[('▁us', 'I-LOC'), ('▁amazon', 'I-ORG')]",Neutral,0.7724915146827698
do not use secrets in environment variables and,[],Neutral,0.5448285341262817
the verge,[],Neutral,0.5586134195327759
google docs will let users organize information into tabs,"[('▁google▁do', 'I-MISC')]",Positive,0.6199724674224854
samsung apologizes for making just $6.8 billion last quarter,"[('▁samsung', 'I-ORG')]",Neutral,0.4913613796234131
apple’s next macbook pros might have leaked in russia,"[('▁apple', 'I-ORG'), ('▁macbook▁pros', 'I-MISC'), ('▁russia', 'I-LOC')]",Neutral,0.6885757446289062
"chevy’s cheapest silverado ev now starts at $57,095","[('▁chevy', 'I-ORG'), ('▁silverado', 'I-MISC')]",Neutral,0.8843131065368652
"another major hurricane is approaching florida, one of the most rapidly intensifying on record","[('▁florida', 'I-LOC')]",Neutral,0.8038715124130249
watch this one minute preview of apple’s first scripted vision pro short,"[('▁apple', 'I-ORG')]",Neutral,0.7263877391815186
judge greenlights ftc’s antitrust suit against amazon,"[('▁ftc▁amazon', 'I-ORG')]",Neutral,0.8248156905174255
"google must crack open android for third-party stores, rules epic judge","[('▁google', 'I-ORG'), ('▁android', 'I-MISC')]",Neutral,0.7223993539810181
ubisoft responds to rumors about tencent’s potential buyout,"[('▁ubisoft▁tencent', 'I-ORG')]",Neutral,0.8488487601280212
arstechnica,[],Neutral,0.6875187158584595
"reports: china hacked verizon and at&t, may have accessed us wiretap systems","[('▁china', 'I-LOC'), ('▁verizon▁at&t', 'I-ORG'), ('▁us', 'I-LOC')]",Neutral,0.5615870356559753
spacex launches europe’s hera asteroid mission ahead of hurricane milton,"[('▁spacex', 'I-ORG'), ('▁europe', 'I-LOC')]",Neutral,0.9229547381401062
"alien: isolation sequel bursts into existence, 10 years after original",[],Neutral,0.8565927147865295
"report: first wave of m4 macs, including smaller mac mini, coming november 1","[('▁mac▁mini', 'I-MISC')]",Neutral,0.8097802400588989
elon musk’s x loses battle over federal request for trump’s dms,"[('▁elon▁musk▁trump', 'I-PER')]",Neutral,0.5310442447662354
"scotus denial ends saga of shkreli’s infamous 5,000% drug price scheme","[('▁shkreli', 'I-PER')]",Negative,0.5745719075202942
fcc lets starlink provide service to cell phones in areas hit by hurricane,[],Neutral,0.7770301699638367
smart tvs are like “a digital trojan horse” in people’s homes,[],Negative,0.5266092419624329
medicine nobel goes to previously unknown way of controlling genes,"[('▁no', 'I-MISC')]",Neutral,0.7684550881385803
hurricane milton becomes second-fastest storm to reach category 5 status,[],Neutral,0.6403511762619019
the register,[],Neutral,0.6707693338394165
workday beats oracle and microsoft in uk 'matrix' erp deal,"[('▁oracle▁microsoft', 'I-ORG'), ('▁uk', 'I-LOC')]",Neutral,0.876940906047821
"microsoft veteran ditches team tabs, blaming storage trauma of yesteryear","[('▁microsoft', 'I-ORG')]",Negative,0.6574175357818604
"a year after taking on intel's nuc mini-pcs, asus says it's ready to improve them","[('▁intel▁asus', 'I-ORG')]",Neutral,0.5560407638549805
"happy birthday, putin – you've been pwned","[('▁putin', 'I-PER')]",Positive,0.9083017110824585
"xcp-ng thanks broadcom for increased interest, swipes citrix for not helping build an alternative","[('cp-ng▁citrix', 'I-ORG')]",Positive,0.6391494274139404
samsung apologizes for bad financial performance,"[('▁samsung', 'I-ORG')]",Negative,0.5987674593925476
"google brings better bricking to androids, to curtail crims","[('▁google', 'I-ORG')]",Neutral,0.5637467503547668
china reportedly tells local ai buyers to ignore nvidia,"[('▁china', 'I-LOC'), ('▁nvidi', 'I-ORG')]",Neutral,0.6687424182891846
feds reach for sliver of crypto-cash nicked by north korea's notorious lazarus group,"[('▁fed', 'I-ORG'), ('▁north▁korea', 'I-LOC'), ('▁lazarus', 'I-ORG')]",Neutral,0.574011504650116
epic judge orders google to let rivals set up app stores,"[('▁google', 'I-ORG')]",Neutral,0.6176086068153381
inflection ai enterprise offering ditches nvidia gpus for intel's gaudi 3,"[('▁nvidia', 'I-MISC'), ('▁intel', 'I-ORG')]",Neutral,0.8960124850273132
american water stops billing for h2o due to 'cybersecurity incident',[],Negative,0.6340205669403076
"american water rinsed in cyberattack, turns off app","[('▁american', 'I-MISC')]",Negative,0.6635843515396118
vulcan centaur avoids faa scrutiny after losing solid rocket booster nozzle,[],Neutral,0.6151962876319885
"geico tells el reg, no, it's not canceling all cybertruck insurance","[('▁geico', 'I-ORG')]",Neutral,0.7753734588623047
"cops love facial recognition, and withholding info on its use from the courts",[],Neutral,0.4980977177619934
"samsung chairman debunks foundry, chip biz spinoff rumors","[('▁samsung', 'I-ORG')]",Neutral,0.7481794357299805
quantum computing dreamers face stock market reality check,[],Neutral,0.5515658259391785
"chinese cyberspies reportedly breached verizon, at&t, lumen","[('▁verizon▁at&t', 'I-ORG')]",Neutral,0.6552683115005493
"you're right not to rush into running amd, intel's new manycore monster cpus","[('▁am', 'I-MISC'), ('▁intel', 'I-ORG')]",Neutral,0.7268614768981934
global semiconductor sales up 20.6% to record $53.1b as trade wars rage on,[],Neutral,0.667356014251709
"netflix on mars? sure, thanks to nasa's laser comms demo","[('▁mars', 'I-LOC'), ('▁nasa', 'I-ORG')]",Positive,0.6683198809623718
sap offers different way to move sql server-based software to the cloud,"[('▁sap', 'I-ORG')]",Positive,0.5720025300979614
"windows 11 migration? upgrade engine revs up, enterprises have no choice","[('▁windows▁11', 'I-MISC')]",Neutral,0.5786843299865723
atos stumbles again as french government says 'non' to rescue deal,"[('▁atos', 'I-ORG'), ('▁fren', 'I-MISC')]",Negative,0.5886641144752502
rival browsers cry foul after microsoft edge slips through eu gatekeeper cracks,"[('▁microsoft▁edge', 'I-MISC'), ('▁eu', 'I-ORG')]",Negative,0.6301016211509705
